city_code,city,city_heb,population
2,Merom HaGalil,מרום הגליל,15892
8,Gilboa,הגלבוע,32165
12,Zvulun,זבולון,13755
29,Hevel Yavne,חבל יבנה,6920
31,Ofakim,אופקים,33999
37,Shaar HaNegev,שער הנגב,9071
46,Yavneel,יבנאל,4448
53,Hevel Eilot,חבל אילות,4745
65,Migdal,מגדל,1988
68,Neve Midbar,נווה מדבר,13309
70,Ashdod,אשדוד,225975
73,Binyamin,מטה בנימין,73497
78,Har Hevron,הר חברון,10079
99,Mitzpe Ramon,מצפה רמון,5178
246,Netivot,נתיבות,42039
469,Kiryat Ekron,קריית עקרון,11051
472,Abu Ghosh,אבו גוש,7880
481,Maghar,מגאר,23624
482,Bu'eine Nujeidat,בועיינה-נוגידאת,10137
496,Hurfeish,חורפיש,6581
499,Yafa an-Naseriyye,יפיע,19538
502,Yarka,ירכא,17576
505,Kaokab Abu al-Hija,כאוכב אבו אל-היגא,3724
507,Kafr Yasif,כפר יאסיף,10323
525,Sajur,סאגור,4425
529,I'billin,אעבלין,13692
531,Arraba,עארבה,26641
654,Kafr Qara,כפר קרע,19691
831,Yeroham,ירוחם,11031
874,Migdal HaEmek,מגדל העמק,26029
922,Rekhasim,רכסים,13736
944,Bosmat Tivon,בסמת טבעון,8068
962,Tuba-Zangariyye,טובא-זנגרייה,7011
975,Zarzir,זרזיר,8412
978,Ka'abiyye-Tabbash-Hajajre,כעביה-טבאש-חגאגרה,5732
998,Bir-Elmaksur,ביר אל-מכסור,9959
1031,Sderot,שדרות,30553
1034,Kiryat Malakhi,קריית מלאכי,25022
1060,Lakiya,לקייה,15295
1063,Maalot Tarshiha,מעלות-תרשיחא,22315
1137,Kiryat Ye'arim,קריית יערים,6471
1161,Rahat,רהט,76237
1247,Harish,חריש,27006
1286,Segev Shalom,שגב שלום,11865
1290,Zemar,זמר,7360
1292,Judeide-Maker,גדיידה-מכר,21507
1296,Kisra-Sumei,כסרא-סמיע,9108
1309,Elad,אלעד,49593
1326,Basma,בסמה,10497
2034,Hatzor Haglilit,חצור הגלילית,9764
2100,Tirat Carmel,טירת כרמל,26806
2200,Dimona,דימונה,35892
2400,Or Yehuda,אור יהודה,36815
2560,Arad,ערד,27582
2610,Beit Shemesh,בית שמש,141764
2630,Kiryat Gat,קריית גת,60582
2710,Umm al-Fahm,אום אל-פחם,57677
2730,Taibeh,טייבה,45388
2800,Kiryat Shmona,קריית שמונה,22336
3000,Jerusalem,ירושלים,966210
3557,Kedumim,קדומים,4590
3574,Beit El,בית אל,5681
3608,Maale Efraim,מעלה אפרים,1318
3611,Kiryat Arba,קריית ארבע,7499
3730,Givat Zeev,גבעת זאב,20034
6000,Baqa al-Gharbiyye,באקה אל-גרביה,30973
6100,Bnei Berak,בני ברק,212395
6200,Bat Yam,בת ים,126290
6700,Tiberias,טבריה,46698
7000,Lod,לוד,82629
7100,Ashkelon,אשקלון,149160
7300,Nazareth,נצרת,77925
7600,Akko,עכו,49614
7700,Afula,עפולה,59075
8500,Ramla,רמלה,77798
8800,Shefaram,שפרעם,43023
9000,Beer Sheva,באר שבע,211251
9200,Beit Shean,בית שאן,18900
9600,Kiryat Yam,קריית ים,39441